"País","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Culturapolítica","Continente","2019_infl","2019_med","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Estados Unidos",35.7136220923495,82.256,17.744,0.763339371824656,7.96,9.17,7.14,7.5,"América",1.84971143536747,NA,NA,3.89599990844727,NA,3.89599990844727,8.1759473669863e-316
"Estonia",30.4112491373361,68.88,31.12,0.58496349021078,7.97,9.58,8.21,6.88,"Europa",3.97168133790838,NA,NA,5.36600017547607,NA,5.36600017547607,3.48719437885085e-318
"Etiopía",109.224559,20.763,79.237,4.82593017790277,3.35,0,3.57,5,"África",5.52389296613252,NA,NA,2.07500004768372,NA,2.07500004768372,2.54011312423185e-316
"Filipinas",357.688305329175,46.907,53.093,1.87696104447929,6.71,9.17,5.71,4.38,"Asia",4.60400708176319,NA,NA,2.33800005912781,NA,2.33800005912781,2.16720032920778e-316
"Finlandia",18.1485472672831,85.382,14.618,0.199422968266274,9.25,10,8.93,8.75,"Europa",0.891979688843918,NA,NA,7.36100006103516,NA,7.36100006103516,1.35509212727768e-317
"Francia",122.299437237519,80.444,19.556,0.480451975332608,7.8,9.58,7.5,5.63,"Europa",1.36634401665445,NA,NA,9.05900001525879,NA,9.05900001525879,1.50155566469191e-316
"Gabón",8.22476423332169,89.37,10.63,3.04478422807304,3.61,2.58,2.21,5,"África",0.857346403858443,NA,84.66716,19.806999206543,NA,19.806999206543,3.47083092466059e-318
"Gambia",225.30652173913,61.27,38.73,4.0478524176413,4.31,4.48,4.29,5.63,"África",2.92356681292554,NA,NA,9.02700042724609,2.43275,9.02700042724609,3.71872342180498e-318
"Georgia",65.197330207495,58.632,41.368,0.647230647092237,5.5,7.83,3.57,4.38,"Asia-Europa",5.31109072468293,NA,NA,13.7849998474121,NA,13.7849998474121,1.00833363594094e-317
"Ghana",130.821429199262,56.06,43.94,3.36449369189313,6.63,8.33,5.71,6.25,"África",4.20043667238612,NA,79.03964,4.15700006484985,3.98944,4.15700006484985,6.23091580944592e-317
"Grecia",83.2651823118697,79.058,20.942,0.220496953517559,7.29,9.58,5.36,6.88,"Europa",2.02829137125097,NA,97.93595,19.2919998168945,NA,19.2919998168945,2.37366230933481e-317
"Guatemala",152.547125793206,51.054,48.946,2.33564723328312,5.6,7.92,5.36,4.38,"América",2.23817612716715,NA,NA,2.40199995040894,2.92707,2.40199995040894,3.30061542835536e-317
"Guinea",50.5222122741332,36.14,63.86,3.79794652024178,3.14,3.5,0.43,4.38,"África",2.62632678405912,NA,NA,4.24700021743774,2.57251,4.24700021743774,2.11743937133589e-317
"Guinea Ecuatorial",46.6657397504456,72.143,27.857,4.34581444152726,1.92,0,0.43,4.38,"África",-8.84997542903925,NA,NA,6.38299989700317,NA,6.38299989700317,2.51180998083106e-318
